theta_start,miss_rate,false_alarm_rate
0.0,0.0,1.0
0.01994987502133936,0.0,1.0
0.03989975004267872,0.0,1.0
0.05984962506401808,0.0,1.0
0.07979950008535744,0.0,1.0
0.09974937510669679,0.0,1.0
0.11969925012803616,0.0,1.0
0.13964912514937552,0.0,1.0
0.15959900017071488,0.0,1.0
0.17954887519205423,0.0,1.0
0.19949875021339358,0.0,1.0
0.21944862523473296,0.0,1.0
0.23939850025607232,0.0,1.0
0.25934837527741167,0.0,1.0
0.27929825029875105,0.0,1.0
0.2992481253200904,0.0,1.0
0.31919800034142976,0.0,1.0
0.33914787536276914,0.0,1.0
0.35909775038410846,0.0,1.0
0.37904762540544784,0.0,1.0
0.39899750042678717,0.0,1.0
0.41894737544812655,0.0,1.0
0.4388972504694659,0.0,1.0
0.45884712549080525,0.0,1.0
0.47879700051214463,0.0,1.0
0.498746875533484,0.0,1.0
0.5186967505548233,0.0,1.0
0.5386466255761627,0.0,1.0
0.5585965005975021,0.0,1.0
0.5785463756188415,0.0,1.0
0.5984962506401807,0.0,1.0
0.6184461256615201,0.0,1.0
0.6383960006828595,0.0,1.0
0.6583458757041989,0.0,1.0
0.6782957507255383,0.0,1.0
0.6982456257468775,0.0,1.0
0.7181955007682169,0.0,1.0
0.7381453757895563,0.0,1.0
0.7580952508108957,0.0,1.0
0.7780451258322351,0.0,1.0
0.7979950008535743,0.0,1.0
0.8179448758749137,0.0,1.0
0.8378947508962531,0.0,1.0
0.8578446259175925,0.0,1.0
0.8777945009389319,0.0,1.0
0.8977443759602712,0.0,1.0
0.9176942509816105,0.0,1.0
0.9376441260029499,0.0,1.0
0.9575940010242893,0.0,1.0
0.9775438760456286,0.0,1.0
0.997493751066968,0.0,1.0
1.0174436260883073,0.0,1.0
1.0373935011096467,0.0,1.0
1.057343376130986,0.0,1.0
1.0772932511523254,0.0,1.0
1.0972431261736648,0.0,1.0
1.1171930011950042,0.0,1.0
1.1371428762163436,0.0,1.0
1.157092751237683,0.0,1.0
1.1770426262590221,0.0,1.0
1.1969925012803615,0.0,1.0
1.2169423763017009,0.0,1.0
1.2368922513230403,0.0,1.0
1.2568421263443796,0.0,1.0
1.276792001365719,0.0,1.0
1.2967418763870584,0.0,1.0
1.3166917514083978,0.0,1.0
1.3366416264297372,0.0,1.0
1.3565915014510765,0.0,1.0
1.376541376472416,0.0,1.0
1.396491251493755,0.0,1.0
1.4164411265150945,0.0,1.0
1.4363910015364338,0.0,1.0
1.4563408765577732,0.0,1.0
1.4762907515791126,0.0,1.0
1.496240626600452,0.0,1.0
1.5161905016217914,0.0,1.0
1.5361403766431307,0.0,1.0
1.5560902516644701,0.0,1.0
1.5760401266858095,0.0,1.0
1.5959900017071487,0.0,1.0
1.615939876728488,0.0,1.0
1.6358897517498274,0.0,1.0
1.6558396267711668,0.0,1.0
1.6757895017925062,0.0,1.0
1.6957393768138456,0.0,1.0
1.715689251835185,0.0,1.0
1.7356391268565243,0.0,1.0
1.7555890018778637,0.0,1.0
1.775538876899203,0.0,1.0
1.7954887519205425,0.0,1.0
1.8154386269418816,0.0,1.0
1.835388501963221,0.0,1.0
1.8553383769845604,0.0,1.0
1.8752882520058998,0.0,1.0
1.8952381270272392,0.0,1.0
1.9151880020485785,0.0,1.0
1.935137877069918,0.0,1.0
1.9550877520912573,0.0,1.0
1.9750376271125967,0.0,1.0
1.994987502133936,0.0,1.0
2.014937377155275,0.0,1.0
2.0348872521766146,0.0,1.0
2.054837127197954,0.0,1.0
2.0747870022192934,0.0,1.0
2.0947368772406327,0.0,1.0
2.114686752261972,0.0,1.0
2.1346366272833115,0.0,1.0
2.154586502304651,0.0,1.0
2.1745363773259903,0.0,1.0
2.1944862523473296,0.0,1.0
2.214436127368669,0.0,1.0
2.2343860023900084,0.0,1.0
2.2543358774113478,0.0,1.0
2.274285752432687,0.0,1.0
2.2942356274540265,0.0,1.0
2.314185502475366,0.0,1.0
2.3341353774967053,0.0,1.0
2.3540852525180442,0.0,1.0
2.3740351275393836,0.0,1.0
2.393985002560723,0.0,1.0
2.4139348775820624,0.0,1.0
2.4338847526034018,1.0,1.0
2.453834627624741,1.0,1.0
2.4737845026460805,1.0,1.0
2.49373437766742,1.0,1.0
2.5136842526887593,1.0,1.0
2.5336341277100987,1.0,1.0
2.553584002731438,1.0,1.0
2.5735338777527774,1.0,1.0
2.593483752774117,1.0,1.0
2.613433627795456,1.0,1.0
2.6333835028167956,1.0,1.0
2.653333377838135,1.0,1.0
2.6732832528594743,1.0,1.0
2.6932331278808137,1.0,1.0
2.713183002902153,1.0,1.0
2.7331328779234925,1.0,1.0
2.753082752944832,1.0,1.0
2.773032627966171,1.0,1.0
2.79298250298751,1.0,1.0
2.8129323780088495,1.0,1.0
2.832882253030189,1.0,1.0
2.8528321280515283,1.0,1.0
2.8727820030728677,1.0,1.0
2.892731878094207,1.0,1.0
2.9126817531155464,1.0,1.0
2.932631628136886,1.0,1.0
2.952581503158225,1.0,1.0
2.9725313781795646,1.0,1.0
2.992481253200904,1.0,1.0
3.0124311282222433,1.0,1.0
3.0323810032435827,1.0,1.0
3.052330878264922,1.0,1.0
3.0722807532862615,1.0,1.0
3.092230628307601,1.0,1.0
3.1121805033289403,1.0,1.0
3.1321303783502796,1.0,1.0
3.152080253371619,1.0,1.0
3.1720301283929584,1.0,1.0
3.1919800034142973,1.0,1.0
3.2119298784356367,1.0,1.0
3.231879753456976,1.0,1.0
3.2518296284783155,1.0,1.0
